reference,answer type,answer,query
000001,,synchronization,ticoredatasync -- ticoredatasync is an open-source framework enabling cloud-based @placeholder with optional encryption for core-data applications running on both mac os x and ios .
110100,,s,parallelism-amdahl -- amdahl s law also known as amdahl @placeholder argument is used to find the maximum expected improvement to an overall system when only part of the system is improved .
000100,,lisp,common-lisp -- common-lisp is a standardized version of the @placeholder programming language intended for production-strength power .
110000,,web,jqwidget -- jqwidgets is a jquery based framework for building modern responsive @placeholder sites and mobile web-applications that work on any web-connected device .
000011,,server,virtual-hosts -- virtual-hosts or virtual hosting is a method for hosting multiple domain names with separate handling of each name on a single @placeholder or pool of servers .
000111,,css,csso -- csso css optimizer is a @placeholder minimizer .
110000,,web,pandastream -- powerful video-encoding for the @placeholder .
001111,,drupal,drupal-templates -- theme templates are part of @placeholder s theming system and allow for the customization of drupal sites .
000010,,php,phpdocumentor2 -- phpdocumentor 2 is a tool that makes it possible to generate documentation directly from your @placeholder source code .
000100,,qt,qtestlib -- qt test is a framework for unit-testing @placeholder based applications and libraries .
000011,,ide,xcode6 .1 -- related to the new version of the apple s @placeholder xcode 6.1 .
000100,,ruby,webmock -- library for stubbing and setting expectations on http requests in @placeholder .
001101,,json,android-gson -- gson a java serialization library to convert java objects into @placeholder and back to fetch and parse json into java models for android .
001000,,open-source,zotonic -- zotonic is both a content-management-system and a web framework written in erlang otp anddepends on several @placeholder products like jquery postgresql db e.t.c .
110000,,java,jongo -- jongo allows to query in @placeholder as in mongo-shell unmarshalling results into java objects by default with jackson .
000101,,clojure,clojure.test -- unit test framework for @placeholder .
000101,,visual-studio,vspackage -- vspackages are software modules that extend the @placeholder ide by providing ui elements services projects editors and designers .
001101,,json,android-gson -- gson a java serialization library to convert java objects into json and back to fetch and parse @placeholder into java models for android .
000011,,video,uvc -- uvc is a short for usb video device class also usb video class and it is a usb device class that describes devices capable of streaming video like webcams digital camcorders transcoders analog @placeholder converters and still-image cameras .
000100,,python,zope.interface -- the zope.interface module provides an implementation of object interfaces for @placeholder .
000010,,ruby,engineyard -- engine yard is a cloud application platform for @placeholder based on amazon-web-services .
000101,,qt,qpropertyanimation -- the qpropertyanimation class animates @placeholder properties .
001111,,sql,aggregate-filter -- the filter clause is @placeholder standard syntax to filter rows passed to an aggregate function .
110100,,.net,microsoft-fakes -- microsoft-fakes is an isolation framework for creating delegate-based test stubs and shims in @placeholder framework applications .
000111,,gnu,gnu -- this tag is for programming questions related to software and tools provided by the @placeholder gnu s not unix project .
000111,,gnu,gnu -- this tag is for programming questions related to software and tools provided by the gnu @placeholder s not unix project .
110111,,server,ibmhttpserver -- ibm http server is a full-featured apache-based web @placeholder that is included with other products such as ibm websphere application server at no charge .
001000,,android,audiotrack -- audiotrack class in standard @placeholder api for playing back raw audio .
010000,,java,kryonet -- tcp and udp client-server library for @placeholder .
000001,,widget,kendo-gauge -- the kendo-gauge is a kendo @placeholder is used to let users quickly understand where a value lies in a certain range .
000100,,visual-studio,node.js-tools -- ntvs is a free open-source plugin that turns @placeholder into a node.js ide .
000011,,audio,audio-video-sync -- questions related to synchronization between @placeholder and video during creation transmission reception and playback of content with both audio and video .
110100,,java,doclet -- doclet programs work with the javadoc tool to generate documentation from code written in @placeholder .
000001,,video,windows-media-player -- windows-media-player abbreviated wmp is a media-player and media library application developed by microsoft that is used for playing audio @placeholder and viewing images on personal computers running the microsoft windows operating-system as well as on pocket pc and windows mobile-based devices .
000101,,ruby,fabrication-gem -- fabrication is a fixture replacement library for @placeholder .
000100,,ruby,active-attr -- activeattr is a set of modules that makes it easy to create plain old @placeholder models with functionality found in orms like activerecord without reinventing the wheel .
000001,,api,mgo -- mgo pronounced as mango is a mongodb driver for the go language that implements a rich and well tested selection of features under a very simple @placeholder following standard go idioms .
000100,,javascript,javascript-framework -- a javascript-framework is a library of pre-written @placeholder which allows for easier development of javascript-based applications especially for ajax and other web-centric technologies .
001111,,drupal,drupal-templates -- theme templates are part of drupal s theming system and allow for the customization of @placeholder sites .
000010,,api,ansible-awx -- ansible-tower is a gui and rest @placeholder for managing both cloud-based and traditional hybrid ansible deployments .
001011,,uri,rfc3986 -- a rfc entitled uniform resource identifier @placeholder : generic syntax .
000101,,javascript,lungojs -- lungojs is a framework powered by html5 css3 and @placeholder for creating mobile web apps.the applications created with it works on all popular platforms ios android blackberry and webos .
001111,,open-source,opendaylight -- the opendaylight project is a collaborative @placeholder project that aims to accelerate adoption of software-defined networking sdn and create a solid foundation for network functions virtualization nfv for a more transparent approach that fosters new innovation and reduces risk .
000101,,apache-spark,indexedrdd -- key-value store implementation for @placeholder .
010100,,java,optaplanner -- optaplanner is according to its website a lightweight embeddable planning engine written in @placeholder .
001011,,kotlin,kdoc -- kdoc is a documentation-generation system which reads specially formatted comments in @placeholder source code and generates compiled documentation .
011101,,ruby,ruby-2 .1 -- for issues relating to development in @placeholder version 2.1 .
000001,,markov,openbugs -- openbugs is a computer software for the bayesian analysis of complex statistical models using @placeholder chain monte carlo mcmc methods .
000010,,jquery,toggleclass -- the toggleclass method in @placeholder provides a mechanism for adding or removing a class or list of classes by name from selected elements .
110010,,web,tvm -- the token vending machine tvm is a server-based reference application that serves temporary credentials to remote clients to sign @placeholder requests to amazon-web-services aws .
110100,,java,generics -- generics are a form of parametric-polymorphism found in a range of languages including .net languages @placeholder and in swift .
110000,,s,omxplayer -- omxplayer is a video-player specifically made for the raspberry-pi @placeholder gpu .
001000,,authentication,jwt -- json-web-token jwt pronounced jot is an emerging type of token-based @placeholder used in space-constrained environments such as http authorization headers .
000100,,bluetooth,bluecove -- open-source java bluetooth api jsr-82 implementation for various @placeholder stacks on windows linux mac osx and windows-mobile devices .
000010,,http,digest-authentication -- a challenge-response authentication mechanism for @placeholder .
000100,,qt,qt-necessitas -- necessitas is the codename for the port of @placeholder on the android operating-system and of the user-friendly qt-creator integration with android .
000100,,gnu,usrp -- the usrp series of software-defined radio devices designed and developed by ettus research are commonly used with @placeholder radio openbts labview and matlab .
001000,,css,enquire.js -- a lightweight pure javascript library for responding to @placeholder media-queries .
000101,,matrix,diagonal -- diagonal means either a diagonal @placeholder usually a square matrix in which the entries outside the main diagonal are all zero .
110001,,java,raw-types -- raw-types are a feature of generics in the @placeholder language .
000100,,perl,rakudo-star -- rakudo-star is a distribution of rakudo and bundles the rakudo perl 6 compiler the parrot virtual-machine many modules and documentation including the latest draft of a book on @placeholder 6 .
000101,,jquery,jquery-filer -- jquery.filer - simple html5 file uploader a plugin tool for @placeholder which change completely file input and make it with multiple file selection drag drop support different validations thumbnails icons instant upload print-screen upload and many other features and options .
100011,,database,liquibase-hibernate -- liquibase plugin for hibernate that lets this be configured as a comparison @placeholder for liquibase commands .
001000,,open-source,clojars -- clojars is a community maintained repository for @placeholder clojure libraries .
001010,,javascript-framework,extjs2 -- the december 2007 release of extjs the object oriented @placeholder for creating desktop-like applications .
110010,,java,jpedal -- jpedal is a commercial @placeholder pdf library distributed by idr solutions .
000010,,graphics,gouraud -- gouraud shading named after henri gouraud is an interpolation method used in computer @placeholder to produce continuous shading of surfaces represented by polygon meshes .
000100,,api,google-maps-embed -- the google-maps-embed api lets you add fully functional google-maps or street view panoramas to your website when you don t want to use the javascript @placeholder but want an interactive map that the static maps api can t provide.it uses an iframe to embed a call to the embed api.see the official documentation https : developers.google.com maps documentation embed .
001000,,boolean,boolean-expression -- a boolean-expression is an expression in a programming language that produces a @placeholder value when evaluated i.e .
000010,,python,django-adaptors -- django-adaptors is a tool which allow you to transform easily a csv xml file into a @placeholder object or a django model instance .
000010,,c++,pugixml -- light-weight simple and fast xml parser for @placeholder with xpath support .
000001,,asp.net,sitecore5 .2 -- sitecore is a web content-management-system cms built on microsoft @placeholder .
001000,,javascript,fay -- fay is a programming language that forms a proper subset of haskell and which compiles to @placeholder .
110010,,web,silverstripe -- silverstripe is a free and open-source php @placeholder development framework and content-management-system cms based on the eponymous silverstripe framework .
110000,,android,gradle-experimental -- the new experimental gradle plugin for @placeholder .
001100,,javascript,setinterval -- setinterval is a global @placeholder method .
110000,,web,oauth-2 .0 -- oauth open authorization is an open protocol framework to allow secure api authorization in a simple and standardized way for desktop mobile and @placeholder applications.oauth 2.0 is the second version of the oauth protocol .
001010,,c++,oolua -- is a c++ binding for lua which is intended to ease the embedding of lua in @placeholder allowing easy access to tables functions and types .
000001,,audio,audio-video-sync -- questions related to synchronization between audio and video during creation transmission reception and playback of content with both @placeholder and video .
001001,,google-apps,google-groups-settings -- with the google-apps groups settings api account-level administrators can manage the group settings for your @placeholder account .
000010,,mysql,mariadb -- mariadb is an open-source database server that offers drop-in replacement functionality for @placeholder .
001111,,cakephp,cakephp-2 .4 -- this tag relates to the 2.4.x branch of the @placeholder mvc framework .
110000,,web,serverxmlhttp -- object-model component on windows systems that provides methods and properties that enable you to establish an http connection between files or objects on different @placeholder servers.it s part of msxml services .
000001,,jquery,oridomi -- oridomi is a small script with optional @placeholder support that creates an effect on images and web fonts that looks like folding paper by using css 3d transforms .
001111,,oracle,oracle11gr2 -- oracle 11gr2 an rdbms product is the second and terminal release of the @placeholder 11g database .
000001,,website,groupon -- groupon is a deal-of-the-day @placeholder that features discounted gift certificates usable at local or national retailers .
000101,,powershell,powershell-studio -- powershell-studio refers to an integrated development-environment ide for @placeholder .
100010,,api,tinkerpop-blueprint -- blueprints is a property graph model interface @placeholder with provided implementations .
101100,,ios,uiactionsheet -- uiactionsheet and uiactionsheetdelegate is deprecated in @placeholder 8 .
000010,,api,falconview -- falconview is a pc based mapping application developed by the georgia tech research institute offering a com @placeholder for integration with other applications .
001000,,implementation,jsjac -- jsjac is a jabber xmpp client library written in javascript to ease @placeholder of web based jabber xmpp clients .
000100,,user,listbox -- a graphical user-interface element that allows the @placeholder to select one or more items from a list .
110010,,web,weboperationcontext -- the weboperationcontext can be used in wcf services to access properties of @placeholder requests and responses .
000100,,php,gambio -- the gambio webshop system @placeholder based on xt : commerce .
010000,,web,ckeditor -- ckeditor is a javascript based wysiwyg editor created for use within @placeholder pages .
000010,,open-source,repmgr -- repmgr is a set of @placeholder tools that helps dbas and system administrators manage a cluster of postgresql databases .
000100,,user,mouseout -- a mouseout is an event that occurs on an element when the @placeholder removes the cursor from that element .
000001,,asp.net,application-end -- application-end method called by @placeholder once for the lifetime of the application domain not for each httpapplication instance.it been called once per lifetime of the application before the application is unloaded .
000001,,cross-platform,qt-jambi -- qt-jambi is a java binding of the @placeholder application framework qt .
110100,,python,pygame -- pygame is a set of python modules designed for writing video games.use this tag only if you are using the pygame library and not if you have a question about programming a game in @placeholder in general .
000100,,qt,qdatetime -- a qdatetime is a class from the @placeholder toolkit which provides functions for working with both dates and times .
001111,,django,django-1 .5 -- django-1 .5 is a version of the @placeholder framework released in february 2013 .
110000,,web,sinopia -- sinopia is an open-source @placeholder application providing a private npm repository server .
001101,,eclipse,eclipse-wtp -- the eclipse web tools platform wtp project extends the @placeholder platform with tools for developing web and java-ee applications .
000100,,javascript,packery -- packery is a pure @placeholder jquery-layout library that intelligently lays out elements so as to fit them into as small a space as possible .
000001,,file-format,dst-embroidery -- .dst is the tajima design @placeholder used for storing embroidery patterns .
000100,,user,button -- buttons are simple elements in graphical @placeholder interfaces that take mouse clicks or finger taps on mobile-devices as input .
100000,,s,facepy -- facepy makes it really easy to interact with facebook @placeholder graph api using python .
110000,,s,iwrap -- the iwrap is an embedded bluetooth stack for bluegiga @placeholder bluetooth classic modules .
000101,,xml,xml-simple -- the simple libraries for working with @placeholder in ruby or perl .
000101,,c++,cpplint -- cpplint is an open-source lint-like tool developed by google designed to ensure that @placeholder code conforms to google s coding-style guides .
100010,,open-source,openerp -- odoo formerly openerp is a suite of web based @placeholder business apps .
001000,,widget,kendo-listview -- the kendo-listview is a kendo @placeholder that displays data and offers rich support interacting with data including paging and selection .
111011,,web,w3c-mobile-checker -- a w3c tool for web developers to check the mobile-friendliness of their web page or @placeholder app .
000010,,c++,visual-c + + -2005 -- the november 2005 release of microsoft visual-c + + a c and @placeholder compiler for windows also known as the vc8 compiler .
000100,,django,django-notification -- django-notification is a pluggable @placeholder app for user notification management .
001001,,server,web-farm-framework -- web-farm-framework is the name of the framework for iis-7 for web @placeholder clustering .
000100,,qt,qmediaplayer -- the qmediaplayer class part of the @placeholder framwork allows the playing of a media source .
001010,,markup,bbcode -- bulletin board code is a lightweight @placeholder language used to format posts in many message boards .
001001,,dom,angular-directive -- at a high level directives are markers on a dom element such as an attribute element name comment or css class that tell angularjs s html compiler compile to attach a specified behavior to that @placeholder element or even transform the dom element and its children .
001100,,authentication,identity-management -- broad term used for @placeholder and authorization systems .
110110,,web,web-farm-framework -- web-farm-framework is the name of the framework for iis-7 for @placeholder server clustering .
000001,,ios,nsurlcache -- nsurlcache is a class that is used in @placeholder developing for caching the responses of the url .
000101,,lua,oolua -- is a c++ binding for lua which is intended to ease the embedding of @placeholder in c++ allowing easy access to tables functions and types .
110010,,web,zotonic -- zotonic is both a content-management-system and a @placeholder framework written in erlang otp anddepends on several open-source products like jquery postgresql db e.t.c .
110010,,web,filepicker.io -- filepicker.io is a full file-management framework which supports @placeholder ios and android platform .
000100,,django,satchless -- e-commerce python microframework for @placeholder .
011110,,android,nexus-6p -- the nexus-6p is an @placeholder based smartphone manufactured by huawei .
001100,,pdf,cam-pdf -- cam : : pdf is a perl library for reading and modifying existing @placeholder files .
000100,,.net,eto -- eto.forms is a cross-platform desktop and mobile user-interface framework for @placeholder .
001100,,django,django-filebrowser -- django-filebrowser is a pluggable @placeholder app that allows to manage files through the admin interface .
111000,,s,airprint -- airprint is the name of apple @placeholder printing framework for ios .
110101,,java,dcevm -- the dynamic code evolution virtual-machine dce vm is a modification of the @placeholder hotspot tm vm that allows unlimited redefinition of loaded classes at runtime .
000100,,pdf,pdfrenderer -- an application or api that is capable of drawing a @placeholder to various display mediums computer monitor image files printers .
010000,,.net,ncrunch -- ncrunch is a continuous testing tool for visual-studio @placeholder .
001100,,templates,template-meta-programming -- template meta-programming is a meta-programming technique in which @placeholder are used by a compiler to generate temporary source code which is merged by the compiler with the rest of the source code and then compiled .
000001,,perl-module,mechanize-python -- stateful programmatic web browsing in python after andy lester s @placeholder www : : mechanize .
000001,,excel-2007,xls -- xls is the file extension for files created using the default format of microsoft excel prior to @placeholder .
010000,,web,compojure -- compojure is an open-source @placeholder framework for the clojure programming language .
000001,,std,putchar -- anything related to c or c++ - standard-library functions putchar c or @placeholder : : putchar c++ .
000101,,s,pygodaddy -- pygodaddy is a 3rd-party client library written in python for site admins and devs to interface with godaddy @placeholder services .
010100,,c++,boost-locale -- boost.locale is a c++ library that provides high quality localization facilities in a @placeholder way .
110000,,s,node-walk -- a node port of python @placeholder os.walk .
001101,,qt,qgraphicspixmapitem -- qgraphicspixmapitem is a class of @placeholder a cross-platform application development framework .
111011,,web,firefox-browser-api -- the firefox-browser-api is an extension of the iframe element adding functionality to embed a @placeholder browser within a web-app .
001110,,oracle,tns -- an proprietary oracle networking technology that provides connectivity to @placeholder databases .
000100,,python,gcloud-python -- google cloud client library for @placeholder - an idiomatic intuitive and natural way for python developers to integrate with google-cloud-platform services like cloud datastore and cloud-storage .
000100,,html,angular-directive -- at a high level directives are markers on a dom element such as an attribute element name comment or css class that tell angularjs s @placeholder compiler compile to attach a specified behavior to that dom element or even transform the dom element and its children .
110101,,web,mod-deflate -- the mod-deflate is an apache @placeholder server module that provides the deflate output filter that allows output from your server to be compressed before being sent to the client over the network .
001111,,ios,parseui -- parseui is a collection of user-interface components which can be used with the parse @placeholder sdk or the parse-android-sdk .
100000,,web,thymeleaf -- thymeleaf is an xml xhtml html5 template-engine extensible to other formats that can work both in @placeholder and non-web environments .
000100,,wcf,wcf-security -- questions related to the authentication and authorization services for windows communication foundation @placeholder applications .
000100,,javascript,jscs -- jscs is a code style checker for @placeholder .
000100,,authentication,ntlm -- ntlm nt lan manager is a suite of microsoft security protocols that provides @placeholder integrity and confidentiality to users .
110001,,web,homestead -- laravel homestead is an official pre-packaged vagrant box that provides you a wonderful development-environment without requiring you to install php hhvm a web server and any other server software on your local machine.homestead runs on any windows mac or linux system and includes the nginx @placeholder server php-5 .6 mysql postgres redis memcached and all of the other goodies you need to develop amazing laravel applications .
001000,,ajax,jquery-forms-plugin -- the jquery form plugin simplifies the process of submitting a form via @placeholder and displaying the results within the current page .
110000,,web,p5.js -- p5.js is a javascript library that starts with the original goal of processing to make coding accessible for artists designers educators and beginners and reinterprets this for today s @placeholder .
000101,,azure,azure-autoscaling-block -- microsoft enterprise-library autoscaling application block enables to change the number of role instances of a windows @placeholder cloud service based on a time schedule and or operating parameters .
000010,,database,occi -- oracle c++ call interface occi is a high-performance and comprehensive api to access the oracle @placeholder .
110000,,web,http-status-code-503 -- 503 is one of the status codes a @placeholder server can return to a client application when processing a request .
010000,,s,youtube-data-api -- youtube-data-api used for getting details of youtube contents like playlist playlistitems and video @placeholder details you need to generate a youtube-data-api developer key to access the content available on youtube-data-api .
000011,,video,uvc -- uvc is a short for usb video device class also usb @placeholder class and it is a usb device class that describes devices capable of streaming video like webcams digital camcorders transcoders analog video converters and still-image cameras .
011100,,java,lanterna -- a java library easying the job of creating a terminal application in @placeholder by providing an awt swing like stack .
000101,,.net,easynetq -- easynetq is a simple to use opinionated @placeholder api for rabbitmq .
010000,,web,mpld3 -- the mpld3 project brings together matplotlib the popular python-based graphing library and d3js the popular javascript library for creating interactive data visualizations for the @placeholder .
010100,,web,liquid -- liquid is a templating-engine for creating @placeholder pages .
001101,,javascript,coffeescript -- coffeescript is a language that compiles into @placeholder .
110001,,web,meta -- meta elements are the html or xhtml meta element used to provide structured metadata about a @placeholder page .
001101,,css,topcoat -- topcoat is an open-source @placeholder library designed to help developers build web apps with an emphasis on speed .
001000,,google-maps,google-maps-embed -- the google-maps-embed api lets you add fully functional @placeholder or street view panoramas to your website when you don t want to use the javascript api but want an interactive map that the static maps api can t provide.it uses an iframe to embed a call to the embed api.see the official documentation https : developers.google.com maps documentation embed .
000001,,authentication,java-security -- java-security technology is set of libraries tools and implementations of commonly used security algorithms mechanisms and protocols including cryptography public-key infrastructure secure communication @placeholder and access-control .
001101,,xml,openxml -- questions regarding reading and writing of microsoft office open @placeholder files either through direct manipulation of the xml files contained in a zip package or through the microsoft office open xml sdk .
010000,,java,avian -- avian is a lightweight java virtual-machine jvm and class-library designed to provide a useful subset of @placeholder s features suitable for building self-contained applications .
001000,,email,email-address -- an email-address identifies an email box to which @placeholder messages are delivered .
000010,,javascript,mpld3 -- the mpld3 project brings together matplotlib the popular python-based graphing library and d3js the popular @placeholder library for creating interactive data visualizations for the web .
000101,,ios,uilabel -- the uilabel class implements a read-only text view in @placeholder .
110000,,web,topcoat -- topcoat is an open-source css library designed to help developers build @placeholder apps with an emphasis on speed .
001100,,scala,lift -- an open-source web application framework written in @placeholder .
110000,,web,web-audio -- web-audio is a javascript api providing low-level low-latency audio playback and manipulation functions in html5 capable @placeholder browsers .
000010,,pygame,pygame -- pygame is a set of python modules designed for writing video games.use this tag only if you are using the @placeholder library and not if you have a question about programming a game in python in general .
001100,,ios,airprint -- airprint is the name of apple s printing framework for @placeholder .
000011,,widget,swt -- swt : the standard @placeholder toolkit is a user-interface library for java maintained by the eclipse foundation .
000101,,youtube,ytplayerview -- ytplayerview is youtube s official ios player helper class which facilitates the playback of @placeholder videos in ios applications .
000101,,javascript,ima.js -- the ima.js is a application development stack for developing isomorphic applications written in pure @placeholder .
001111,,youtube,youtube-data-api -- youtube-data-api used for getting details of @placeholder contents like playlist playlistitems and video s details you need to generate a youtube-data-api developer key to access the content available on youtube-data-api .
110100,,web,martini -- martini is a popular lightweight @placeholder framework for go .
000100,,django,django-cron -- django-cron lets you run @placeholder python code on a recurring basis proving basic plumbing to track and execute tasks .
000001,,mozilla,jsctypes -- js-ctypes is a foreign-function library for privileged javascript in @placeholder based applications such as firefox thunderbird or seamonkey .
110000,,s,jbcrypt -- the java implementation of openbsd @placeholder blowfish password hashing code .
110000,,s,heapbox -- heapbox is a replacement for jquery @placeholder select element .
000001,,sql,korma -- korma is a clojure dsl wrapping common @placeholder database manipulation functions .
000011,,http,http-negotiate -- there are two kinds of content negotiation which are possible in @placeholder : server-driven and agent-driven negotiation .
000100,,video,fitvids -- a lightweight easy-to-use jquery plugin for fluid width @placeholder embeds .
000111,,python,pysvn -- pysvn is a library extension and client program for accessing svn repositories in the @placeholder programming language .
000001,,version-control,smartgit -- smartgit hg - is a cross-platform visual client @placeholder system vcs for git mercurial and subversion that can run on windows linux and mac os .
000101,,python,rpy2 -- rpy is a very simple yet robust @placeholder interface to the r programming language .
001000,,digits,phone-number -- a telephone number or phone-number is a sequence of @placeholder used to call from one telephone line to another in a public switched telephone network pstn .
001100,,templates,template-specialization -- template-specialization refers to programmer-generated explicit specialization of @placeholder for specific types .
000101,,audio,pydub -- pydub is a python library for @placeholder manipulation .
000101,,erlang,reltool -- reltool is an application in @placeholder otp for creating releases and target systems .
000100,,http,serverxmlhttp -- object-model component on windows systems that provides methods and properties that enable you to establish an @placeholder connection between files or objects on different web servers.it s part of msxml services .
001010,,maf,oracle-maf -- oracle s mobile-application framework @placeholder is a hybrid mobile framework which leverages java html5 and javascript to deliver a complete mvc framework with declarative user-interface definition device features integration and built-in security .
001111,,ip,arp -- arp is a protocol for resolution of network layer addresses such as @placeholder into link layer addresses such as mac addresses .
001111,,adobe,flex -- apache flex not to be confused with flexbox is a framework for developing rich internet applications that run in flash-player or @placeholder air .
010101,,web,mass-assignment -- a feature of server-side @placeholder framework such as ruby-on-rails in which all the parameters of an http-request are assigned to variables .
110000,,web,jsjac -- jsjac is a jabber xmpp client library written in javascript to ease implementation of @placeholder based jabber xmpp clients .
001010,,web,mlphp -- mlphp is a php api for marklogic that makes it easy to store documents manage document metadata and create sophisticated search queries on a @placeholder server running php version 5.4 or greater .
010000,,java,task -- a task is an abstraction that is used to work with concurrency it can denote operation that should be executed concurrently with the rest of a program.a task is a concurrent thread of execution in ada and represents an asynchronous operation in .net also it corresponds to threads in @placeholder .
001000,,video,audio-video-sync -- questions related to synchronization between audio and @placeholder during creation transmission reception and playback of content with both audio and video .
110100,,web,watin -- watin aims to bring you an easy way to automate @placeholder testing with internet-explorer and firefox using .net .
001101,,scala,scalatra -- scalatra is a tiny @placeholder web framework inspired by sinatra .
000001,,orm,waterline -- waterline is an adapter-based @placeholder for node .
001101,,android,mediacodec -- mediacodec is a class from the package android.media of @placeholder api that can be used to access low-level native media codec i.e .
110000,,web,firebreath -- firebreath is a c++ framework for creating @placeholder browser plugins not extensions .
111110,,web,iis -- internet information services iis is a @placeholder server created by microsoft for use with microsoft windows .
001111,,wcf,ierrorhandler -- in .net allows an implementer to control the fault message returned to the caller from a @placeholder service and optionally perform custom error processing such as logging .
001000,,nfc,ndef -- the nfc data exchange format ndef specification is a common data format for @placeholder forumdevices and nfc forum tags .
110001,,s,skcropnode -- an skcropnode crops the pixels drawn by its children so that only some of the pixels are rendered to the parent @placeholder framebuffer .
000101,,haskell,haskell-mode -- the haskell-mode package is a set of major modes for emacs for writing haskell code and working with @placeholder projects .
000111,,web-services,soap1 .2 -- soap 1.2 refers to the latest version of the simple open access protocol - a protocol used in exchanging structured information through @placeholder .
110100,,web,aida -- aida web is a smalltalk @placeholder framework and application server .
001011,,server,iis -- internet information services iis is a web @placeholder created by microsoft for use with microsoft windows .
101010,,open-source,odoo-9 -- odoo is a suite of @placeholder business apps written in python and released under the agpl license .
001111,,xml,oxm -- object xml mapping or o x mapping for short is the act of converting an @placeholder document to and from an object .
000100,,database,litedb -- a free open-source embedded nosql @placeholder for .net .
100100,,s,picasa -- with picasa and picasa webalbums from google a user can manage digital photo @placeholder offline picasa and online picasa webalbums .
100000,,s,emmet -- emmet previously known as zen coding is a web-developer @placeholder toolkit that can greatly improve your html css workflow .
000101,,jquery,raty -- raty is a plugin for @placeholder that displays interactive star-ratings .
111000,,web,shiny-server -- shiny-server is a server program that makes shiny applications available over the @placeholder .
000001,,api,direct3d11 -- direct3d is part of microsoft s directx application programming interface @placeholder which performs 3d graphics rendering in games simulations etc .
000010,,c++,omniorb -- omniorb is a free corba orb for @placeholder and python .
111101,,s,alertdialogpro -- this project can make it easy to theme and custom android @placeholder dialog .
100111,,.net,fxcop -- microsoft s free static-analysis tool for analyzing @placeholder managed code assemblies .
000010,,rename,mv -- mv is the unix command to @placeholder or move a file or directory .
